domain,cookies_total,cookies_3p,cookies_3p_ratio,cookie_3p_domains,cookie_3p_top,tracker_cookies,tracker_cookie_ratio,cookies_secure,cookies_secure_ratio,cookies_httponly,cookies_httponly_ratio,cookies_session,cookies_session_ratio,ss_none,ss_lax,ss_strict,ss_none_ratio,ss_lax_ratio,ss_strict_ratio,expiry_min_days,expiry_median_days,expiry_max_days,req_total,req_3p,req_3p_ratio,distinct_3p_req_domains,req_3p_top,tracker_hits,tracker_hit_ratio,resources_beacon,resources_font,resources_image,resources_imageset,resources_main_frame,resources_media,resources_other,resources_script,resources_stylesheet,resources_sub_frame,resources_websocket,resources_xmlhttprequest,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_list,tls_cipher_suites_fs,tls_cipher_fs_ratio,tls_cipher_suites_weak,tls_cipher_weak_ratio,tls_cipher_weak_list,tls_hsts,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage
ipaustralia.gov.au,5,0,0.0,0,,0,0.0,4,0.8,3,0.6,3,0.6,0,1,0,0.0,0.2,0.0,397,397.0,397,501,365,0.729,4,qualtrics.com;googletagmanager.com;siteimproveanalytics.io;siteimproveanalytics.com,365,0.729,0,13,171,0,2,0,0,217,11,0,0,87,1,0,0,0,0,0,1,,TLS_1_3,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",78.0,6.0,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4.0,0.667,0.0,0.0,,1.0,1,4,1,1,1,1
justice.qld.gov.au,17,0,0.0,0,,0,0.0,1,0.059,1,0.059,1,0.059,0,1,0,0.0,0.059,0.0,397,397.0,397,142,128,0.901,10,gstatic.com;google.com;ajax.googleapis.com;googletagmanager.com;bootstrapcdn.com,128,0.901,9,31,4,1,1,0,0,41,28,0,0,27,1,0,0,0,1,1,3,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
migration.sa.gov.au,46,18,0.391,1,vimeo.com,18,0.391,24,0.522,9,0.196,9,0.196,0,0,0,0.0,0.0,0.0,-3,397.0,397,523,452,0.864,10,vimeocdn.com;googletagmanager.com;vimeo.com;google-analytics.com;jsdelivr.net,450,0.86,63,23,63,0,2,0,0,149,87,18,0,118,0,0,0,0,1,1,2,,TLS_1_3,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",33.0,9.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_AES_128_CCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5.0,0.556,0.0,0.0,,0.0,1,1,0,0,0,1
moneysmart.gov.au,8,0,0.0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,397,397.0,397,74,46,0.622,4,googletagmanager.com;google.com;doubleclick.net;google.es,46,0.622,9,3,21,0,1,0,0,19,1,0,0,20,1,1,1,1,1,1,6,,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",85.0,7.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,4.0,0.571,0.0,0.0,,1.0,1,1,0,0,0,1
museumsvictoria.com.au,59,36,0.61,2,linkedin.com;doubleclick.net,36,0.61,44,0.746,11,0.186,2,0.034,0,0,0,0.0,0.0,0.0,-3,177.0,397,481,431,0.896,18,cloudflare.com;google.com;googletagmanager.com;doubleclick.net;jquery.com,406,0.844,9,14,100,0,1,0,0,208,58,27,0,64,1,0,0,0,1,1,3,,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",69.0,23.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,14.0,0.609,6.0,0.261,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1.0,0,0,0,0,0,0
parks.tas.gov.au,18,9,0.5,1,translate-pa.googleapis.com,9,0.5,0,0.0,9,0.5,1,0.056,0,0,0,0.0,0.0,0.0,180,180.0,397,268,234,0.873,10,gstatic.com;google.com;translate.googleapis.com;jquery.com;jsdelivr.net,234,0.873,0,9,92,3,1,0,0,94,48,0,0,21,1,1,1,1,1,1,6,certinfo_error ('NoneType' object has no attribute 'get'),,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1,1,0,0,0,1
police.sa.gov.au,204,189,0.926,2,youtube.com;doubleclick.net,189,0.926,117,0.574,117,0.574,9,0.044,0,0,0,0.0,0.0,0.0,-3,177.0,397,625,595,0.952,13,youtube.com;doubleclick.net;google.com;jnn-pa.googleapis.com;googletagmanager.com,595,0.952,36,20,118,0,1,0,0,231,12,36,0,171,0,0,0,0,1,1,2,,TLS_1_2,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",337.0,2.0,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2.0,1.0,0.0,0.0,,0.0,1,1,0,0,0,1
productsafety.gov.au,18,9,0.5,1,translate-pa.googleapis.com,9,0.5,0,0.0,9,0.5,0,0.0,0,0,0,0.0,0.0,0.0,27,180.0,397,260,230,0.885,8,gstatic.com;translate.googleapis.com;monsido.com;google.com;google-analytics.com,230,0.885,0,36,105,0,1,0,2,57,31,0,0,28,1,0,0,0,1,1,3,,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",39.0,7.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_AES_128_CCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,3.0,0.429,0.0,0.0,,1.0,0,0,0,0,0,0
schoolbuses.wa.gov.au,183,0,0.0,0,,0,0.0,0,0.0,5,0.027,172,0.94,0,0,0,0.0,0.0,0.0,-3,397.0,397,219,144,0.658,5,gstatic.com;fonts.googleapis.com;googletagmanager.com;google-analytics.com;fontawesome.com,144,0.658,0,56,28,6,1,0,0,37,73,0,0,18,1,0,0,0,1,0,2,,TLS_1_3,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",355.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,1.0,0,0,0,0,0,0
training.gov.au,229,0,0.0,0,,0,0.0,2,0.009,76,0.332,215,0.939,0,0,0,0.0,0.0,0.0,-3,397.0,397,179,144,0.804,5,gstatic.com;azure.com;fonts.googleapis.com;google-analytics.com;googletagmanager.com,144,0.804,0,45,8,0,1,0,0,22,32,0,0,71,1,0,0,0,0,0,1,,TLS_1_2,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",221.0,3.0,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3.0,1.0,0.0,0.0,,1.0,1,1,0,0,0,1
