domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
mivau.gob.es,False,True,True,True,False,True,0,0,True,0,,none,1.0,0.0,0.0,0.74,0.744,gstatic.com;google.com;ajax.googleapis.com;fonts.googleapis.com;mitma.gob.es,4.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.0,4.0,0.6666666666666666
moncloaabierta.presidencia.gob.es,False,True,True,False,False,True,0,0,True,0,,scroll,68.0,0.0,0.956,0.45,0.45,google-analytics.com,4.0,1.0,1.0,0.0,0.0,1.0,1.0,TLS_1_3,159.0,0.571,0.0,,0,0,,,,,,0.0,4.0,0.6666666666666666
mpr.gob.es,False,True,True,False,False,True,0,0,True,0,,banner,1.0,0.0,0.0,0.254,0.254,google-analytics.com,4.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,1,0,,,,True,,0.0,4.0,0.6666666666666666
mpr.sede.gob.es,False,False,True,True,False,True,7,0,True,0,,,1.0,0.0,1.0,0.426,0.426,googletagmanager.com;redsara.es,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,298.0,0.5,0.0,0.0,0,1,,,,,False,1.0,4.0,0.6666666666666666
mpt.gob.es,False,False,True,True,False,True,24,0,True,5,INTERNATIONAL,,166.0,0.0,0.922,0.573,0.573,jquery.com;googletagmanager.com;google-analytics.com;google.com;doubleclick.net,3.0,1.0,0.0,0.0,0.0,1.0,1.0,TLS_1_3,269.0,0.667,0.0,0.0,0,1,,,,,False,3.4285714285714284,3.0,0.5
planderecuperacion.gob.es,False,False,True,False,False,True,0,0,True,0,,,39.0,0.128,0.41,0.828,0.828,powerapps.com;windows.net;visualstudio.com;onetrust.com;googletagmanager.com,4.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.0,4.0,0.6666666666666666
portaldatos.seg-social.gob.es,False,True,True,True,False,True,0,0,True,0,,banner,18.0,0.0,1.0,0.437,0.456,go-mpulse.net;akstat.io;trial-eum-clientnsv4-s.akamaihd.net;trial-eum-clienttons-s.akamaihd.net;176-80-55-162_s-185-43-182-114_ts-1754675791-clienttons-s.akamaihd.net,4.0,1.0,1.0,0.0,0.0,1.0,1.0,TLS_1_3,82.0,0.667,0.0,1.0,2,0,,,True,True,,0.0,4.0,0.6666666666666666
prtr.miteco.gob.es,True,True,True,False,True,True,0,1,True,9,NONE,none,8.0,0.0,1.0,0.355,0.368,adobedtm.com;rum.hlx.page,6.0,1.0,1.0,1.0,1.0,1.0,1.0,TLS_1_2,55.0,1.0,0.0,1.0,1,0,True,,,,,0.0,6.0,1.0
publicaciones.transportes.gob.es,False,False,False,True,False,True,6,0,True,0,,,123.0,0.878,0.228,0.692,0.692,clarity.ms;googletagmanager.com;google-analytics.com;bing.com,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,53.0,0.596,0.34,0.0,0,1,,,,,False,0.8571428571428571,4.0,0.6666666666666666
redets.sanidad.gob.es,False,False,True,False,False,True,0,0,True,0,,,12.0,0.0,0.0,0.519,0.519,google-analytics.com;google.com;googletagmanager.com;doubleclick.net;google.es,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TLS_1_2,54.0,0.4,0.6,0.0,0,1,,,,,False,0.0,0.0,0.0
rpdiscapacidad.gob.es,False,True,True,False,False,True,0,0,True,0,,none,8.0,0.0,0.0,0.755,0.755,jsdelivr.net;bootstrapcdn.com;gstatic.com;google-analytics.com;fonts.googleapis.com,4.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.0,4.0,0.6666666666666666
sanidad.gob.es,False,False,True,False,False,True,0,0,True,0,,,17.0,0.0,0.294,0.6,0.6,insuit.net;gstatic.com;googletagmanager.com;fonts.googleapis.com;google.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TLS_1_3,54.0,0.592,0.347,0.0,0,1,,,,,False,0.0,0.0,0.0
